位置,手牌,大桶,FullEV,DLEv,DLEv_corrected,DLEv偏差%,修正后偏差%
IP,3d3c,桶3:中等成牌,4.44,6.95,5.77,+56.7%,+30.0%
IP,2s2h,桶3:中等成牌,4.48,6.95,5.76,+55.0%,+28.6%
IP,3s3h,桶3:中等成牌,4.51,6.97,5.78,+54.6%,+28.2%
IP,2h2d,桶3:中等成牌,4.51,6.95,5.77,+54.3%,+28.0%
IP,2s2d,桶3:中等成牌,4.51,6.95,5.77,+54.0%,+27.8%
IP,3h3d,桶3:中等成牌,4.54,6.97,5.78,+53.5%,+27.4%
IP,3s3d,桶3:中等成牌,4.54,6.97,5.78,+53.4%,+27.2%
IP,6s6h,桶3:中等成牌,4.59,8.43,7.00,+83.6%,+52.3%
IP,6h6d,桶3:中等成牌,4.61,8.46,7.02,+83.7%,+52.4%
IP,6s6d,桶3:中等成牌,4.62,8.47,7.03,+83.5%,+52.2%
IP,5d3d,桶6:弱听牌,4.78,5.36,5.37,+12.0%,+12.4%
IP,5s3s,桶6:弱听牌,4.80,5.52,5.54,+15.0%,+15.4%
IP,As6s,桶6:弱听牌,4.86,7.60,7.63,+56.4%,+56.9%
IP,Ad6d,桶6:弱听牌,4.87,7.47,7.50,+53.5%,+54.1%
IP,Ad7d,桶6:弱听牌,4.89,7.74,7.77,+58.5%,+59.0%
IP,As7s,桶6:弱听牌,4.89,7.83,7.86,+60.1%,+60.6%
IP,Ah6h,桶6:弱听牌,4.89,7.64,7.66,+56.1%,+56.6%
IP,5h3h,桶6:弱听牌,4.90,5.57,5.58,+13.5%,+13.9%
IP,Ah7h,桶6:弱听牌,4.92,7.87,7.90,+60.1%,+60.6%
IP,Kd7d,桶6:弱听牌,4.97,7.64,7.66,+53.6%,+54.1%
IP,Kh7h,桶6:弱听牌,4.99,7.66,7.68,+53.4%,+53.9%
IP,Ks7s,桶6:弱听牌,5.01,7.66,7.69,+53.0%,+53.5%
IP,Kd6d,桶6:弱听牌,5.06,7.40,7.43,+46.1%,+46.6%
IP,Kh6h,桶6:弱听牌,5.10,7.47,7.49,+46.5%,+47.0%
IP,Ks6s,桶6:弱听牌,5.12,7.47,7.50,+46.0%,+46.5%
IP,Ks8s,桶6:弱听牌,5.20,7.94,7.97,+52.7%,+53.2%
IP,Kh8h,桶6:弱听牌,5.23,7.91,7.94,+51.3%,+51.8%
IP,Kd8d,桶6:弱听牌,5.23,7.94,7.97,+51.7%,+52.2%
IP,As8s,桶6:弱听牌,5.43,8.57,8.60,+57.8%,+58.3%
IP,9c8c,桶6:弱听牌,5.45,7.19,7.21,+31.9%,+32.3%
IP,Ad8d,桶6:弱听牌,5.47,8.50,8.52,+55.3%,+55.8%
IP,Ah8h,桶6:弱听牌,5.52,8.59,8.62,+55.8%,+56.3%
IP,7s7c,桶3:中等成牌,5.57,11.19,9.28,+100.9%,+66.6%
IP,7h7c,桶3:中等成牌,5.58,11.17,9.26,+100.3%,+66.1%
IP,7d7c,桶3:中等成牌,5.60,11.21,9.30,+100.1%,+66.0%
IP,Kd5d,桶6:弱听牌,5.65,7.31,7.33,+29.2%,+29.6%
IP,Kh5h,桶6:弱听牌,5.67,7.38,7.40,+30.0%,+30.5%
IP,Ks5s,桶6:弱听牌,5.68,7.40,7.43,+30.4%,+30.8%
IP,7h7d,桶3:中等成牌,5.92,11.07,9.18,+87.1%,+55.2%
IP,7s7d,桶3:中等成牌,5.92,11.09,9.20,+87.3%,+55.4%
IP,Ad5d,桶6:弱听牌,5.93,7.59,7.61,+28.0%,+28.4%
IP,7s7h,桶3:中等成牌,5.95,11.05,9.16,+85.8%,+54.1%
IP,As5s,桶6:弱听牌,5.96,7.75,7.78,+30.2%,+30.6%
IP,Ah5h,桶6:弱听牌,6.04,7.79,7.81,+28.9%,+29.4%
IP,As3s,桶6:弱听牌,6.06,7.74,7.77,+27.6%,+28.1%
IP,As2s,桶6:弱听牌,6.07,7.74,7.76,+27.4%,+27.8%
IP,Ad3d,桶6:弱听牌,6.09,7.63,7.65,+25.3%,+25.7%
IP,Ad2d,桶6:弱听牌,6.09,7.62,7.65,+25.1%,+25.6%
IP,Ah3h,桶6:弱听牌,6.14,7.75,7.78,+26.3%,+26.7%
IP,Ah2h,桶6:弱听牌,6.14,7.75,7.77,+26.1%,+26.5%
IP,As9s,桶6:弱听牌,6.17,9.18,9.21,+48.9%,+49.4%
IP,Ad9d,桶6:弱听牌,6.19,9.10,9.13,+47.0%,+47.5%
IP,Ah9h,桶6:弱听牌,6.25,9.20,9.23,+47.2%,+47.7%
IP,8s8c,桶3:中等成牌,6.73,14.04,11.65,+108.7%,+73.1%
IP,8d8c,桶3:中等成牌,6.75,14.05,11.65,+108.0%,+72.6%
IP,8h8c,桶3:中等成牌,6.82,14.03,11.64,+105.8%,+70.7%
IP,8s8d,桶3:中等成牌,7.33,13.88,11.52,+89.4%,+57.1%
IP,8s8h,桶3:中等成牌,7.36,13.87,11.50,+88.4%,+56.2%
IP,8h8d,桶3:中等成牌,7.37,13.87,11.51,+88.3%,+56.2%
IP,9d8d,桶6:弱听牌,8.75,8.36,8.39,-4.5%,-4.1%
IP,9s9c,桶3:中等成牌,8.84,17.79,14.75,+101.1%,+66.9%
IP,9d9c,桶3:中等成牌,8.87,17.78,14.75,+100.4%,+66.2%
IP,9h9c,桶3:中等成牌,8.94,17.78,14.75,+98.9%,+65.0%
IP,9s8s,桶6:弱听牌,9.13,8.37,8.40,-8.3%,-8.0%
IP,9s9d,桶3:中等成牌,9.20,17.92,14.86,+94.7%,+61.5%
IP,9s9h,桶3:中等成牌,9.24,17.92,14.86,+93.9%,+60.9%
IP,9h9d,桶3:中等成牌,9.25,17.91,14.86,+93.7%,+60.7%
